TOTAL_STIMULUS_REC: 423
NLP_parse_percentage_in_AF: 3.78451e-08
Logged_at: 08:00:00:000
Atom(uuid), Atom(name), EnteredAt, LastSeenAt, STI, DurationInAF, IsNLPParseOutput, DirectSTI, GainFromSpreading
7953573784545887471, RENT_TOURNAMENT_SIZE, 21:47:46:626, 21:47:58:070, 14.1285, 11.4432, 1,  - , 9.7722
7957787543219850077, .p, 21:47:46:055, 21:48:01:067, 92.6912, 15.012, 0,  - , 61.2534
8008774176123901945, can@84632784-2456-4790-9e13-b7f170bba1af, 21:47:50:356, 21:47:51:149, 14.0043, 0.792722, 0,  - , 5.28375
8156565771327072657, $pred, 21:47:46:626, 21:47:51:035, 25.3868, 4.40876, 1,  - , 4.0982
8377932543084201042, LEFT-WALL@sentence@ddc16de1-2252-4727-b41e-de1224337112_parse_0, 21:47:46:055, 21:48:01:067, 282.212, 15.012, 0,  - , 647.667
8510307188864038859, no@bfd19bfd-0233-4167-8c65-eef1fa82d64a, 21:47:49:135, 21:48:01:067, 139.369, 11.9322, 0,  - , 8.31877
8560627421780292000, $wall-inst, 21:47:46:055, 21:48:01:067, 211.722, 15.012, 1,  - , 522.581
8582570723040123334, spider, 21:47:48:930, 21:48:01:067, 119.296, 12.1379, 1,  - , 29.2532
8603260903017688591, _advmod, 21:47:46:055, 21:48:01:067, 66.6485, 15.012, 1,  - , 42.5058
8631196631153360391, species@edbdee68-bbf1-48a7-aa69-c9c02cc141f3, 21:47:50:833, 21:47:50:938, 3.43133, 0.105884, 0,  - , 4.66667
8664080306966979111, muscle, 21:47:49:033, 21:48:01:067, 65.0451, 12.0342, 0,  - , 45.316
8673159654457478655, and@ef3f11cf-fb46-457b-9a1f-ad5ecd75c7f7, 21:47:49:557, 21:47:53:517, 16.5485, 3.96026, 0,  - , 25.011
8738850242292131917, puncturing@4fea424c-4f8a-41f6-96a6-86cc6ba23e33, 21:47:58:708, 21:48:01:067, 57.7762, 2.35909, 0,  - , 22.3591
8779126881748818855, .n, 21:47:46:055, 21:48:01:067, 262.037, 15.012, 0,  - , 99.4753
